8901,10000
8259,9999
-8923,9998
3975,9997
901,9996
4040,9995
-2083,9994
201,9993
-3478,9992
3935,9991
3151,9990
4962,9989
-7738,9988
-5132,9987
7752,9986
8425,9985
4884,9984
-5556,9983
-5633,9982
9999,9981
-2499,9980
-1438,9979
1417,9978
8057,9977
4448,9976
2106,9975
-8313,9974
1302,9973
-6781,9972
4712,9971
-3822,9970
-9504,9969
5696,9968
-7773,9967
-1521,9966
684,9965
-9242,9964
-6309,9963
4821,9962
-3855,9961
-4478,9960
-6432,9959
719,9958
-7110,9957
3598,9956
9389,9955
6313,9954
6946,9953
-4826,9952
6166,9951
9454,9950
-9527,9949
-3962,9948
-9439,9947
-1929,9946
2383,9945
472,9944
-9717,9943
-8493,9942
-4690,9941
-3641,9940
-2924,9939
4314,9938
-3483,9937
9987,9936
-4685,9935
5334,9934
-3174,9933
2703,9932
-7533,9931
-50,9930
-1335,9929
-8095,9928
-7471,9927
4042,9926
-7994,9925
-5158,9924
9040,9923
-5571,9922
5275,9921
5246,9920
401,9919
-7533,9918
-2732,9917
-9958,9916
6917,9915
5044,9914
-4427,9913
-3807,9912
-3568,9911
-9710,9910
7294,9909
6249,9908
3311,9907
-5880,9906
8573,9905
-4827,9904
-5771,9903
-1843,9902
873,9901
776,9900
-6612,9899
9526,9898
4041,9897
5442,9896
9712,9895
8728,9894
-1156,9893
-2304,9892
9018,9891
-6984,9890
-5060,9889
-1140,9888
5265,9887
9632,9886
4223,9885
2161,9884
6774,9883
5772,9882
3995,9881
-460,9880
5632,9879
-9745,9878
-409,9877
4833,9876
1464,9875
5692,9874
1925,9873
1113,9872
4442,9871
9344,9870
1801,9869
4642,9868
6565,9867
-4199,9866
9912,9865
8277,9864
5136,9863
5374,9862
-878,9861
3060,9860
7874,9859
8277,9858
-6086,9857
-1642,9856
5157,9855
-3406,9854
848,9853
8109,9852
1691,9851
-6451,9850
3364,9849
3557,9848
-2784,9847
2761,9846
-5498,9845
-8695,9844
-6125,9843
8884,9842
-8124,9841
-367,9840
6472,9839
5482,9838
-9331,9837
5714,9836
1102,9835
5968,9834
2489,9833
-8332,9832
7452,9831
9114,9830
562,9829
-1614,9828
650,9827
1879,9826
5074,9825
-7338,9824
9527,9823
9200,9822
-3605,9821
-4723,9820
34,9819
2954,9818
-1562,9817
-4356,9816
4788,9815
363,9814
9630,9813
1961,9812
2824,9811
-4031,9810
-5263,9809
4996,9808
-2854,9807
637,9806
7197,9805
8261,9804
-8017,9803
6099,9802
8756,9801
-2290,9800
-3524,9799
-5818,9798
-9268,9797
-9959,9796
-2972,9795
6121,9794
-341,9793
-9746,9792
6646,9791
-684,9790
8951,9789
6339,9788
-3622,9787
6281,9786
-2267,9785
-8210,9784
1250,9783
-6147,9782
-1784,9781
-4917,9780
-8819,9779
-682,9778
-6215,9777
9405,9776
5866,9775
-5335,9774
-8641,9773
-4476,9772
-8031,9771
68,9770
-6311,9769
-3903,9768
-9303,9767
-6555,9766
-129,9765
-9325,9764
4469,9763
4120,9762
5720,9761
-2827,9760
2374,9759
-4388,9758
-482,9757
7880,9756
5897,9755
-5037,9754
-6772,9753
-4184,9752
8814,9751
-5682,9750
-5541,9749
781,9748
8038,9747
-5917,9746
-9783,9745
3480,9744
-4107,9743
